사고연도,사고유형구분,사고다발지역시도시군구,사고지역위치명,사고건수,사상자수,위도,경도
2014,보행노인,서울특별시 서초구2,서울특별시 서초구 서초동(무지개아파트 부근),3,3,37.487266,127.024675
2014,보행노인,서울특별시 강남구1,서울특별시 강남구 삼성동(삼릉공원 부근),4,5,37.511011,127.043639
2014,보행노인,서울특별시 강남구2,서울특별시 강남구 역삼동(삼호아파트(서초구) 부근),4,4,37.501430,127.025556
2014,보행노인,서울특별시 강남구3,서울특별시 강남구 수서동(수서역_국가지원지방도32호선_진 부근),4,5,37.487705,127.101816
2014,보행노인,서울특별시 송파구1,서울특별시 송파구 오금동(방이역 부근),4,4,37.509097,127.126769
2014,보행노인,서울특별시 송파구2,서울특별시 송파구 가락동(GS마트입구 부근),4,4,37.492557,127.117197
2014,보행노인,서울특별시 송파구3,서울특별시 송파구 오금동(오금현대아파트 부근),4,4,37.503103,127.125946
2014,보행노인,서울특별시 송파구4,서울특별시 송파구 석촌동(석촌초교입구 부근),3,3,37.500893,127.106705
2014,보행노인,서울특별시 강동구1,서울특별시 강동구 천호동(광진교앞 부근),5,5,37.541275,127.124372
2014,보행노인,서울특별시 강동구2,서울특별시 강동구 길동(둔촌고교입구 부근),4,4,37.535292,127.144914
2014,보행노인,서울특별시 강동구3,서울특별시 강동구 길동(동우빌딩-국민은행 부근),4,5,37.535094,127.138897
2014,보행노인,서울특별시 강동구4,서울특별시 강동구 명일동(명일역 부근),4,4,37.551498,127.142775
2014,보행노인,서울특별시 강동구5,서울특별시 강동구 천호동(현대타워 부근),4,4,37.536358,127.131901
2014,보행노인,서울특별시 강동구6,서울특별시 강동구 성내동(삼성A상가 부근),4,4,37.531670,127.127290
2014,보행노인,서울특별시 강동구7,서울특별시 강동구 천호동(천호초교입구 부근),3,3,37.546467,127.134259
2014,보행노인,경기도 수원시 장안구1,경기도 수원시 장안구 영화동(심도커텐 부근),8,8,37.290212,127.001925
2014,보행노인,경기도 수원시 장안구2,경기도 수원시 장안구 연무동(연무경성아파트 부근),6,6,37.294045,127.025803
2014,보행노인,경기도 수원시 장안구3,경기도 수원시 장안구 정자동(진미콩비지해장국 부근),6,6,37.295617,127.004074
2014,보행노인,경기도 수원시 장안구4,경기도 수원시 장안구 영화동(장안문로터리 부근),5,6,37.288938,127.012919
2014,보행노인,경기도 수원시 장안구5,경기도 수원시 장안구 율전동(율전카경정비 부근),4,8,37.299242,126.970825
2014,보행노인,경기도 수원시 장안구6,경기도 수원시 장안구 연무동(대명관세사무소 부근),4,4,37.292194,127.031348
2014,보행노인,경기도 수원시 권선구1,경기도 수원시 권선구 권선동(권선사거리 부근),3,3,37.259795,127.023991
2014,보행노인,경기도 수원시 팔달구1,경기도 수원시 팔달구 매산로1가(수원역남단교차로 부근),8,8,37.265859,127.001227
2014,보행노인,경기도 수원시 팔달구2,경기도 수원시 팔달구 인계동(나혜석거리 부근),6,6,37.264635,127.032638
2014,보행노인,경기도 수원시 팔달구3,경기도 수원시 팔달구 팔달로2가(팔달문로터리 부근),5,5,37.278099,127.016815
2014,보행노인,경기도 수원시 팔달구4,경기도 수원시 팔달구 고등동(화서사거리 부근),5,5,37.277884,127.003036
2014,보행노인,경기도 수원시 팔달구5,경기도 수원시 팔달구 인계동(영동사거리 부근),4,4,37.275624,127.020485
2014,보행노인,경기도 수원시 팔달구6,경기도 수원시 팔달구 북수동(오성건업(삼화페인트) 부근),3,3,37.282251,127.006021
2014,보행노인,경기도 수원시 팔달구7,경기도 수원시 팔달구 인계동(시청사거리 부근),3,3,37.263350,127.026384
2014,보행노인,경기도 수원시 영통구1,경기도 수원시 영통구 매탄동(법원사거리 부근),3,3,37.273717,127.047885
2014,보행노인,경기도 수원시 영통구2,경기도 수원시 영통구 매탄동(제일좋은교회 부근),3,3,37.271302,127.043770
2014,보행노인,경기도 성남시 수정구1,경기도 성남시 수정구 수진동(태평역사거리 부근),6,7,37.439430,127.127583
2014,보행노인,경기도 성남시 수정구2,경기도 성남시 수정구 신흥동(수진역사거리 부근),5,5,37.438290,127.139109
2014,보행노인,경기도 성남시 수정구3,경기도 성남시 수정구 신흥동(예일병원사거리 부근),5,6,37.443167,127.143153
2014,보행노인,경기도 성남시 수정구4,경기도 성남시 수정구 태평동(한전 사거리 부근),4,4,37.445065,127.129722
2014,보행노인,경기도 성남시 수정구5,경기도 성남시 수정구 태평동(태평오거리 부근),4,4,37.445802,127.134701
2014,보행노인,경기도 성남시 수정구6,경기도 성남시 수정구 신흥동 신흥주공아파트 부근,3,3,37.452753,127.147412
2014,보행노인,경기도 성남시 중원구1,경기도 성남시 중원구 성남동(모란삼거리 부근),7,7,37.433004,127.129779
2014,보행노인,경기도 성남시 중원구2,경기도 성남시 중원구 성남동(현대공구 부근),5,5,37.429080,127.129784
2014,보행노인,경기도 성남시 중원구3,경기도 성남시 중원구 은행동(신성빌라 부근),5,5,37.462800,127.170143
2014,보행노인,경기도 성남시 중원구4,경기도 성남시 중원구 상대원동(상대원시장앞 부근),4,4,37.437470,127.158177
2014,보행노인,경기도 성남시 중원구5,경기도 성남시 중원구 중앙동(신흥사거리 부근),4,4,37.440293,127.146578
2014,보행노인,경기도 성남시 중원구6,경기도 성남시 중원구 금광동(상공회의소앞사거리 부근),3,3,37.444808,127.158460
2014,보행노인,경기도 용인시 기흥구1,경기도 용인시 기흥구 중동(강남마을계룡리슈빌7단지아파트 부근),3,3,37.269932,127.134562
2014,보행노인,경기도 용인시 수지구1,경기도 용인시 수지구 죽전동(죽전지하차도 부근),3,3,37.324911,127.107444
2014,보행어린이,서울특별시 광진구1,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),3,3,37.530510,127.067421
2014,보행어린이,서울특별시 동대문구1,서울특별시 동대문구 장안동(장안동사거리 부근),3,3,37.571974,127.071686
2014,보행어린이,서울특별시 동대문구2,서울특별시 동대문구 장안동(삼성레미안아파트 부근),3,3,37.575554,127.074228
2014,보행어린이,서울특별시 중랑구1,서울특별시 중랑구 망우동(우림시장앞 부근),4,4,37.595116,127.100058
2014,보행어린이,서울특별시 도봉구1,서울특별시 도봉구 창동(창동대우아파트 부근),4,4,37.642887,127.037970
2014,보행어린이,서울특별시 노원구1,서울특별시 노원구 중계동(은행사거리(서울) 부근),3,4,37.651141,127.077128
2014,보행어린이,서울특별시 은평구1,서울특별시 은평구 갈현동 갈현초등학교 부근,8,8,37.619428,126.916455
2014,보행어린이,서울특별시 은평구2,서울특별시 은평구 구산동(예일여고 부근),3,3,37.609898,126.915232
2014,보행어린이,서울특별시 양천구1,서울특별시 양천구 신정동(오목교(서단) 부근),3,4,37.523001,126.877142
2014,보행어린이,서울특별시 양천구2,서울특별시 양천구 신월동(선주빌라 부근),3,4,37.532851,126.830252
2014,보행어린이,서울특별시 강서구1,서울특별시 강서구 화곡동(화곡대림 부근),6,7,37.533689,126.837498
2014,보행어린이,서울특별시 강서구2,서울특별시 강서구 내발산동(우장산역 부근),3,3,37.547967,126.834729
2014,보행어린이,서울특별시 구로구1,서울특별시 구로구 구로동(구로종합사회복지관 부근),8,8,37.487129,126.889816
2014,보행어린이,서울특별시 금천구1,서울특별시 금천구 시흥동(평화교회 부근),3,3,37.450115,126.912375
2014,보행어린이,서울특별시 영등포구1,서울특별시 영등포구 당산동5가(당서초교후문 부근),4,4,37.531960,126.900302
2014,보행어린이,서울특별시 동작구1,서울특별시 동작구 상도동(건영약수맨션아파트 부근),5,7,37.498670,126.944025
2014,보행어린이,서울특별시 동작구2,서울특별시 동작구 대방동(남부교회 부근),3,3,37.508761,126.931705
2014,보행어린이,서울특별시 강남구1,서울특별시 강남구 역삼동(한솔필리아 부근),3,3,37.500002,127.049113
2014,보행어린이,서울특별시 강남구2,서울특별시 강남구 대치동(대치역 부근),3,4,37.494001,127.061790
2014,보행어린이,서울특별시 송파구1,서울특별시 송파구 가락동(송파중교 부근),4,4,37.496135,127.131321
2014,보행어린이,서울특별시 송파구2,서울특별시 송파구 잠실동(신천역 부근),3,3,37.511609,127.085390
2014,보행어린이,서울특별시 송파구3,서울특별시 송파구 잠실동(잠전초교입구 부근),3,3,37.507041,127.083388
2014,보행어린이,서울특별시 강동구1,서울특별시 강동구 명일동 대명초등학교 부근,3,3,37.548090,127.153518
2014,보행어린이,서울특별시 강동구2,서울특별시 강동구 성내동(강동농협둔촌지소 부근),3,3,37.530350,127.130707
2014,보행어린이,경기도 수원시 장안구1,경기도 수원시 장안구 정자동(동신아파트 부근),5,6,37.300653,126.994244
2014,보행어린이,경기도 수원시 권선구1,경기도 수원시 권선구 탑동(참산부인과 부근),5,5,37.273244,126.973582
2014,보행어린이,경기도 수원시 권선구2,경기도 수원시 권선구 권선동(태장면고개사거리 부근),3,3,37.265001,127.020936
2014,보행어린이,경기도 수원시 영통구1,경기도 수원시 영통구 매탄동(원천한국2차아파트 부근),3,3,37.267961,127.051719
2014,보행어린이,경기도 성남시 수정구1,경기도 성남시 수정구 태평동(태평오거리 부근),3,3,37.447127,127.133423
2014,보행어린이,경기도 성남시 중원구1,경기도 성남시 중원구 상대원동(상대원시장앞 부근),4,9,37.436856,127.158493
2014,보행어린이,경기도 용인시 기흥구1,경기도 용인시 기흥구 보정동(죽현마을아이파크죽전 부근),3,3,37.319407,127.113010
2014,보행어린이,경기도 용인시 수지구1,경기도 용인시 수지구 동천동(우미이노스빌 부근),3,3,37.335254,127.093793
2015,스쿨존어린이,서울특별시 중랑구1,서울특별시 중랑구 묵동(묵현초교 부근),3,3,37.608344,127.075014
2015,스쿨존어린이,서울특별시 성북구1,서울특별시 성북구 장위동(장위초교 부근),3,3,37.611186,127.048284
2015,스쿨존어린이,서울특별시 도봉구1,서울특별시 도봉구 창동(창원초교 부근),3,3,37.653416,127.041023
2015,스쿨존어린이,서울특별시 금천구1,서울특별시 금천구 시흥동(문백초교 부근),1,1,37.449438,126.900058
2015,보행어린이,서울특별시 용산구1,"서울특별시 용산구 이촌동(이촌1동 주민선터, 용산청소년수 부근)",3,4,37.521424,126.973010
2015,보행어린이,서울특별시 동대문구1,서울특별시 동대문구 장안동(승용빌딩 부근),3,3,37.566494,127.068121
2015,보행어린이,서울특별시 중랑구1,서울특별시 중랑구 상봉동(중화초교 부근),3,3,37.602417,127.094933
2015,보행어린이,서울특별시 중랑구2,서울특별시 중랑구 묵동(묵2동사무소 부근),3,3,37.609448,127.074558
2015,보행어린이,서울특별시 성북구1,서울특별시 성북구 하월곡동(하월곡생명중앙교회 부근),3,4,37.607851,127.036376
2015,보행어린이,서울특별시 도봉구1,서울특별시 도봉구 방학동(신동아아파트(방학동)11동 부근),4,4,37.661161,127.027605
2015,보행어린이,서울특별시 은평구1,서울특별시 은평구 응암동(파리바게뜨 부근),3,3,37.588024,126.917561
2015,보행어린이,서울특별시 은평구2,서울특별시 은평구 증산동(증산시장 부근),3,3,37.581862,126.904992
2015,보행어린이,서울특별시 서대문구1,서울특별시 서대문구 홍은동(우방빌라 부근),3,5,37.580977,126.925958
2015,보행어린이,서울특별시 강서구1,서울특별시 강서구 내발산동(수명파크3단지 부근),3,3,37.553616,126.826098
2015,보행어린이,서울특별시 강서구2,서울특별시 강서구 내발산동(수명중.고교입구 부근),3,3,37.549906,126.823516
2015,보행어린이,서울특별시 금천구1,서울특별시 금천구 시흥동(은행나무오거리 부근),3,3,37.451470,126.908561
2015,보행어린이,서울특별시 영등포구1,서울특별시 영등포구 양평동1가(양평역사거리 부근),3,3,37.525584,126.887316
2015,보행어린이,서울특별시 영등포구2,서울특별시 영등포구 신길동(청운빌딩 부근),3,3,37.501128,126.902630
2015,보행어린이,서울특별시 동작구1,서울특별시 동작구 상도동(국민은행 부근),3,3,37.499139,126.928144
2015,보행어린이,서울특별시 관악구1,서울특별시 관악구 신림동(뿌리약국 부근),3,3,37.474248,126.918576
2015,보행어린이,서울특별시 서초구1,서울특별시 서초구 양재동(금호빌딩 부근),3,3,37.471446,127.044094
2015,보행어린이,서울특별시 강남구1,서울특별시 강남구 도곡동(경남아파트 부근),4,4,37.487872,127.039838
2015,보행어린이,서울특별시 강동구1,서울특별시 강동구 명일동(명일동사무소 부근),3,4,37.550071,127.146671
2015,보행어린이,서울특별시 강동구2,서울특별시 강동구 성내동(강동 삼성아파트 부근),3,4,37.531790,127.125863
2015,보행어린이,경기도 수원시 장안구1,경기도 수원시 장안구 조원동(천연화장품 부근),4,4,37.301462,127.016406
2015,보행어린이,경기도 수원시 장안구2,경기도 수원시 장안구 천천동((주)웅진씽크빅 서수원지국 부근),3,4,37.297764,126.982473
2015,보행어린이,경기도 수원시 권선구1,경기도 수원시 권선구 권선동(진성건업(주) 부근),3,4,37.254996,127.027247
2015,보행어린이,경기도 수원시 팔달구1,경기도 수원시 팔달구 화서동(화서오거리 부근),3,3,37.278794,126.999360
2015,보행어린이,경기도 성남시 중원구1,경기도 성남시 중원구 금광동(금광카센타 부근),3,3,37.448111,127.163714
2015,보행어린이,경기도 용인시 기흥구1,경기도 용인시 기흥구 구갈동(삼성테스코(주)홈플러스 익스프레스 새천년 부근),3,4,37.288489,127.111133
2015,보행어린이,경기도 용인시 기흥구2,경기도 용인시 기흥구 동백동(삼성내과 부근),3,4,37.282624,127.159740
2015,보행노인,서울특별시 종로구1,서울특별시 종로구 관수동(종로3가 부근),10,11,37.570193,126.991031
2015,보행노인,서울특별시 종로구2,서울특별시 종로구 숭인동(황학교(북단)_난계로_진출_1 부근),7,7,37.573444,127.023269
2015,보행노인,서울특별시 종로구3,서울특별시 종로구 숭인동(영도교(남단) 부근),5,5,37.571106,127.018814
2015,보행노인,서울특별시 종로구4,서울특별시 종로구 낙원동(낙원상가 부근),5,5,37.572663,126.988593
2015,보행노인,서울특별시 종로구5,서울특별시 종로구 효제동(율곡로-충효길진출로 부근),4,4,37.574692,127.005728
2015,보행노인,서울특별시 종로구6,서울특별시 종로구 경운동(안국동사거리_율곡로_진출_1 부근),3,5,37.575782,126.983871
2015,보행노인,서울특별시 종로구7,서울특별시 종로구 창신동(박민규이빈후과 부근),3,3,37.576916,127.015423
2015,보행노인,서울특별시 중구1,서울특별시 중구 봉래동2가(동자로터리_한강로_진입 부근),7,7,37.555164,126.972553
2015,보행노인,서울특별시 중구2,서울특별시 중구 신당동(약수역_동호로_진입_1 부근),7,7,37.553781,127.011645
2015,보행노인,서울특별시 중구3,서울특별시 중구 남창동(신세계백화점(정문) 부근),6,6,37.559511,126.977979
